character_names,season,number_in_season,word_count
Bart Simpson,21,5,50.0
Bart Simpson,21,7,144.0
Bart Simpson,21,8,804.0
Bart Simpson,21,9,179.0
Bart Simpson,21,10,199.0
Bart Simpson,21,11,295.0
Bart Simpson,21,12,188.0
Bart Simpson,21,13,66.0
Bart Simpson,21,14,363.0
Bart Simpson,21,15,362.0
Bart Simpson,21,16,143.0
Bart Simpson,21,17,207.0
Bart Simpson,21,18,104.0
Bart Simpson,21,19,88.0
Bart Simpson,21,20,68.0
Bart Simpson,21,21,53.0
Bart Simpson,21,22,348.0
Bart Simpson,21,23,59.0
Bart Simpson,22,1,102.0
Bart Simpson,22,2,48.0
Bart Simpson,22,3,295.0
Bart Simpson,22,4,198.0
Bart Simpson,22,5,230.0
Bart Simpson,22,6,126.0
Bart Simpson,22,7,379.0
Bart Simpson,22,8,300.0
Bart Simpson,22,9,70.0
Bart Simpson,22,10,359.0
Bart Simpson,22,11,111.0
Bart Simpson,22,12,420.0
Bart Simpson,22,13,74.0
Bart Simpson,22,14,365.0
Bart Simpson,22,15,131.0
Bart Simpson,22,16,95.0
Bart Simpson,22,17,252.0
Bart Simpson,22,18,116.0
Bart Simpson,22,19,241.0
Bart Simpson,22,20,125.0
Bart Simpson,22,21,172.0
Bart Simpson,22,22,183.0
Bart Simpson,23,1,58.0
Bart Simpson,23,2,534.0
Bart Simpson,23,3,264.0
Bart Simpson,23,4,199.0
Bart Simpson,23,5,219.0
Bart Simpson,23,6,426.0
Bart Simpson,23,7,188.0
Bart Simpson,23,8,83.0
Bart Simpson,23,9,419.0
Bart Simpson,23,10,105.0
Bart Simpson,23,11,100.0
Bart Simpson,23,12,209.0
Bart Simpson,23,13,215.0
Bart Simpson,23,14,96.0
Bart Simpson,23,15,417.0
Bart Simpson,23,16,118.0
Bart Simpson,23,17,51.0
Bart Simpson,23,18,309.0
Bart Simpson,23,19,632.0
Bart Simpson,23,20,65.0
Bart Simpson,23,21,146.0
Bart Simpson,23,22,132.0
Bart Simpson,24,1,512.0
Bart Simpson,24,2,186.0
Bart Simpson,24,3,216.0
Bart Simpson,24,4,146.0
Bart Simpson,24,5,83.0
Bart Simpson,24,6,53.0
Bart Simpson,24,7,189.0
Bart Simpson,24,8,123.0
Bart Simpson,24,9,147.0
Bart Simpson,24,10,249.0
Bart Simpson,24,11,167.0
Bart Simpson,24,12,592.0
Bart Simpson,24,13,278.0
Bart Simpson,24,14,213.0
Bart Simpson,24,15,7.0
Bart Simpson,24,16,136.0
Bart Simpson,24,17,36.0
Bart Simpson,24,18,221.0
Bart Simpson,24,19,307.0
Bart Simpson,24,20,251.0
Bart Simpson,24,21,34.0
Bart Simpson,24,22,32.0
Bart Simpson,25,1,112.0
Bart Simpson,25,2,262.0
Bart Simpson,25,3,76.0
Bart Simpson,25,4,114.0
Bart Simpson,25,5,41.0
Bart Simpson,25,6,276.0
Bart Simpson,25,7,279.0
Bart Simpson,25,8,185.0
Bart Simpson,25,9,123.0
Bart Simpson,25,10,67.0
Bart Simpson,25,11,216.0
Bart Simpson,25,12,530.0
Bart Simpson,25,13,139.0
Bart Simpson,25,14,113.0
Bart Simpson,25,15,78.0
Bart Simpson,25,16,167.0
Bart Simpson,25,17,288.0
Bart Simpson,25,18,535.0
Bart Simpson,25,19,446.0
Bart Simpson,25,21,158.0
Bart Simpson,25,22,300.0
Bart Simpson,26,1,141.0
Bart Simpson,26,2,282.0
Bart Simpson,26,3,130.0
Bart Simpson,26,4,205.0
Bart Simpson,26,5,25.0
Bart Simpson,26,6,114.0
Bart Simpson,26,7,236.0
Bart Simpson,26,8,23.0
Bart Simpson,26,9,180.0
Bart Simpson,26,10,114.0
Bart Simpson,26,11,307.0
Bart Simpson,26,12,39.0
Bart Simpson,26,13,211.0
Bart Simpson,26,14,0.0
Bart Simpson,26,15,14.0
Bart Simpson,26,16,66.0
C. Montgomery Burns,1,1,45.0
C. Montgomery Burns,1,2,0.0
C. Montgomery Burns,1,3,182.0
C. Montgomery Burns,1,4,203.0
C. Montgomery Burns,1,5,0.0
C. Montgomery Burns,1,6,0.0
C. Montgomery Burns,1,7,0.0
C. Montgomery Burns,1,8,25.0
C. Montgomery Burns,1,9,0.0
C. Montgomery Burns,1,10,191.0
C. Montgomery Burns,1,11,0.0
C. Montgomery Burns,1,12,0.0
C. Montgomery Burns,1,13,0.0
C. Montgomery Burns,2,1,21.0
C. Montgomery Burns,2,2,451.0
C. Montgomery Burns,2,3,0.0
C. Montgomery Burns,2,4,997.0
C. Montgomery Burns,2,5,236.0
C. Montgomery Burns,2,6,0.0
C. Montgomery Burns,2,7,34.0
